index,weekday,mood,activities,datetime,date,small meal,ate in,sport,teaching,flight,cleaning,labour,Thảo,went out,left the house,ate out,music,online shopping,Up too late,drinking,shower,animals,Medical,walk,gaming,TV,YouTube,massage,holiday,hungover,Extreme,commute,acquaintances,browsing,groceries,bed too late,lesson,Vietnamese,Climbing,cinema,mental task,Meal,sex,cooking,home dinner,Irish,editing,Bed on time,Dessert,cycling,wanking,N2O,MD,train,stayed in,family,social media,soccer,Up on time,driving,journal,podcasts,friends,museum,acid,strangers,weed,reading,snacking,boardgames,sick,fine dining,photography,fast food,studying,relax,bus,guitar,coke,karaoke,Workout,time,rank,diff,newtime
2020-02-25 23:10:00,Tuesday,4,"['cooking', 'home dinner', 'Dessert', 'left the house', 'animals', 'sex', 'Thảo', 'family', 'TV', 'bed too late']",2020-02-25 23:10:00,2020-02-25,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23:10:00,4.0,0 days 05:10:00.000000000,2020-02-25 20:35:00
2020-02-25 18:00:00,Tuesday,3,"['cooking', 'small meal', 'Dessert', 'editing', 'left the house', 'family', 'walk']",2020-02-25 18:00:00,2020-02-25,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18:00:00,3.0,0 days 03:34:00.000000000,2020-02-25 16:13:00
2020-02-25 14:26:00,Tuesday,4,"['snacking', 'wanking', 'guitar', 'stayed in', 'Thảo', 'mental task']",2020-02-25 14:26:00,2020-02-25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,14:26:00,2.0,0 days 05:35:00.000000000,2020-02-25 11:38:30
2020-02-25 08:51:00,Tuesday,3,"['Thảo', 'browsing', 'Up too late', 'shower']",2020-02-25 08:51:00,2020-02-25,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,08:51:00,1.0,0 days 09:29:00.000000000,4
2020-02-24 23:22:00,Monday,4,"['home dinner', 'Dessert', 'stayed in', 'Thảo', 'strangers', 'gaming', 'Bed on time']",2020-02-24 23:22:00,2020-02-24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23:22:00,4.0,0 days 05:00:00.000000000,2020-02-24 20:52:00
2020-02-24 18:22:00,Monday,4,"['cooking', 'small meal', 'left the house', 'animals', 'family', 'walk']",2020-02-24 18:22:00,2020-02-24,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18:22:00,3.0,0 days 04:47:00.000000000,2020-02-24 15:58:30
2020-02-24 13:35:00,Monday,4,"['snacking', 'left the house', 'animals', 'Thảo', 'family', 'podcasts', 'mental task', 'walk']",2020-02-24 13:35:00,2020-02-24,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,13:35:00,2.0,0 days 03:55:00.000000000,2020-02-24 11:37:30
2020-02-24 09:40:00,Monday,3,"['Thảo', 'browsing', 'Up too late', 'shower']",2020-02-24 09:40:00,2020-02-24,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,09:40:00,1.0,0 days 10:08:00.000000000,4
2020-02-23 23:32:00,Sunday,5,"['cooking', 'home dinner', 'stayed in', 'Thảo', 'reading', 'gaming', 'bed too late']",2020-02-23 23:32:00,2020-02-23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23:32:00,3.0,0 days 08:12:00.000000000,2020-02-23 19:26:00
2020-02-23 15:20:00,Sunday,5,"['snacking', 'left the house', 'friends', 'podcasts', 'sport', 'Climbing', 'cycling']",2020-02-23 15:20:00,2020-02-23,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15:20:00,2.0,0 days 05:01:00.000000000,2020-02-23 12:49:30
