weekday,NormWeekdayAvg
Monday,-0.059631374722838526
Tuesday,-0.018154101995565775
Wednesday,-0.039745011086474324
Thursday,0.03430801921655435
Friday,0.013285291943827993
Saturday,0.08508083356695684
Sunday,-0.014176829268292668
