0,1
Thảo,18.744558371239375
Meal,10.879796207657039
ate out,10.057814996769759
sex,5.714525243952458
sport,2.964760014411765
Bed on time,2.46802182250476
ate in,2.3301683909242628
Climbing,2.132780395994767
drinking,1.5411213992073898
Up too late,1.5077595616787745
acid,1.4141956303978531
small meal,1.3733015086562586
friends,1.2350893544293082
cooking,1.1000850548189312
studying,1.0475686425221813
animals,1.0304683942814825
home dinner,1.0060955689361915
stayed in,0.9387519811765875
shower,0.7978874151359052
bed too late,0.6215355878634015
walk,0.6133610965846182
browsing,0.588343168298141
labour,0.5744629758429208
left the house,0.551757366152317
mental task,0.37263953061407895
guitar,0.27784798453253545
groceries,0.20821509968882776
teaching,0.20411927574731992
cleaning,0.1969178109440055
relax,0.18830786690565784
driving,0.17752113529777172
TV,0.1150140788192004
snacking,0.09976511260311596
Dessert,0.04768654767952357
holiday,-0.0121088368265381
reading,-0.043041669743467514
strangers,-0.044974489090360045
Medical,-0.055251923146706766
music,-0.1993780396412086
Vietnamese,-0.2569719365603644
gaming,-0.37393982934152226
family,-0.4557307819786459
wanking,-0.4669429012455688
podcasts,-0.48338820216297185
lesson,-0.517455948344133
commute,-0.6067520035702736
hungover,-0.7081778953467247
went out,-0.9689749500674945
Workout,-1.3131456848020402
editing,-1.845532781310276
sick,-2.1938447475611764
weed,-3.3725364790915027
