0,1
Thảo,14.114001526502253
Meal,10.825895197027961
ate out,9.979927330781733
sex,9.334826395872177
friends,8.102083912731855
ate in,5.692699471385085
drinking,2.476847772316711
home dinner,1.7405008300645022
stayed in,1.46319688134454
Up too late,1.4516589497465908
studying,1.2668243703233928
small meal,1.2379682099421008
cooking,1.178199739013567
animals,1.1121937207832986
walk,1.07657501070691
shower,1.0093869954254397
left the house,0.7442865536483367
TV,0.7273993142311956
mental task,0.5517366718289587
browsing,0.5452102170184339
guitar,0.5173880658593157
teaching,0.46235635165078637
bed too late,0.41069732746189996
went out,0.36789678949609
sport,0.3297795208137512
Dessert,0.2775329468317527
cleaning,0.2726957733084664
reading,0.24298268100850823
groceries,0.22493737605637742
gaming,0.10755630574430786
family,0.05684841426787157
driving,0.031145026709899843
holiday,-0.09511978681424349
wanking,-0.13169329040518196
Vietnamese,-0.19958229260473664
strangers,-0.22345827621189954
Medical,-0.36294856407696763
commute,-0.38282063659794024
snacking,-0.416518727592269
editing,-0.503026969530488
lesson,-0.513001973553114
hungover,-0.5502437594441614
sick,-0.9563374161755699
